"codigo","seleccion","jugador","nombre_completo","falta_fecha_nacimiento","falta_edad","falta_estatura","falta_club","falta_posicion","fecha_nacimiento_actual","edad_actual","estatura_actual","club_actual","posicion_actual"
"ARG 21","Argentina","Lautaro Martínez","Lautaro Martinez","true","true","true","false","false","","","","Inter","Delantero"
"ARG 22","Argentina","José Manuel López","José Manuel López","true","true","true","false","false","","","","Palmeiras","Delantero"
"ARG 23","Argentina","Nico González","Nico Gonzalez","true","true","true","false","false","","","","Atlético Madrid","Delantero"
"ARG 24","Argentina","Thiago Almada","Thiago Almada","true","true","true","false","false","","","","Atlético Madrid","Delantero"
"AUS 1","Australia","Matthew Ryan","Matthew Ryan","true","true","true","false","false","","","","Levante","Arquero"
"AUS 2","Australia","Patrick Beach","Patrick Beach","true","true","true","false","false","","","","Melbourne City","Arquero"
"AUS 3","Australia","Paul Izzo","Paul Izzo","true","true","true","false","false","","","","Randers","Arquero"
"AUS 10","Australia","Jason Geria","Jason Geria","true","true","true","false","false","","","","Albirex Niigata","Defensa"
"AUS 11","Australia","Lucas Herrington","Lucas Herrington","true","true","true","false","false","","","","Colorado Rapids","Defensa"
"AUS 12","Australia","Kai Trewin","Kai Trewin","true","true","true","false","false","","","","New York City","Defensa"
"AUS 13","Australia","Jacob Italiano","Jacob Italiano","true","true","true","false","false","","","","Grazer AK 1902","Defensa"
"AUS 15","Australia","Paul Okon-Engstler","Paul Okon-Engstler","true","true","true","false","false","","","","Sydney FC","Mediocampista"
"AUS 16","Australia","Cameron Devlin","Cameron Devlin","true","true","true","false","false","","","","Hearts","Mediocampista"
"AUS 17","Australia","Ajdin Hrustic","Ajdin Hrustic","true","true","true","false","false","","","","Heracles","Mediocampista"
"AUS 20","Australia","Mathew Leckie","Mathew Leckie","true","true","true","false","false","","","","Melbourne City","Delantero"
"AUS 21","Australia","Nishan Velupillay","Nishan Velupillay","true","true","true","false","false","","","","Melbourne City","Delantero"
"AUS 22","Australia","Nestoy Irakunda","Nestoy Irakunda","true","true","true","false","false","","","","Watford","Delantero"
"AUS 23","Australia","Awer Mabil","Awer Mabil","true","true","true","false","false","","","","Castellón","Delantero"
"AUS 25","Australia","Cristian Volpato","Cristian Volpato","true","true","true","false","false","","","","Sassuolo","Delantero"
"AUS 26","Australia","Tete Yengi","Tete Yengi","true","true","true","false","false","","","","Machida Zelvia","Delantero"
"AUT 3","Austria","Florian Wiegele","Florian Wiegele","false","false","true","false","false","2001-03-21","25","","Viktoria Pilsen","Arquero"
"AUT 18","Austria","Xavier Schlager","Xavier Schlager","true","true","true","false","false","","","","Red Bull Leipzig","Mediocampista"
"AUT 19","Austria","Romano Schimid","Romano Schimid","true","true","true","false","false","","","","Werder Bremen","Mediocampista"
"AUT 20","Austria","Alessandro Schöph","Alessandro Schöph","true","true","true","false","false","","","","RZ Pellets","Mediocampista"
"BEL 2","Belgica","Senne Lammens","Senne Lammens","true","true","true","false","false","","","","Manchester United","Arquero"
"BEL 3","Belgica","Mike Penders","Mike Penders","true","true","true","false","false","","","","Estrasburgo","Arquero"
"BEL 9","Belgica","Thomas Meunir","Thomas Meunir","true","true","true","false","false","","","","Lille","Defensa"
"BIH 11","Bosnia y Herzegovina","Nidal Celik","Nidal Čelik","false","false","true","false","false","2006-07-17","19","","Lens","Defensa"
"BRA 3","Brasil","Weverton","Weverton","false","false","true","false","false","1993-08-25","32","","Grêmio","Arquero"
"BRA 6","Brasil","Bremer","Bremer","true","true","true","false","false","","","","Juventus","Defensa"
"BRA 7","Brasil","Ibáñez","Ibáñez","true","true","true","false","false","","","","Al Ahli","Defensa"
"CAN 1","Canada","Maxime Crépau","Maxime Crépau","true","true","true","false","false","","","","Orlando City","Arquero"
"CAN 2","Canada","Owen Goodman","Owen Goodman","true","true","true","false","false","","","","Barnsley","Arquero"
"CAN 3","Canada","Dayne St. Clair","Dayne St.Clair","true","true","true","false","false","","","","Inter Miami","Arquero"
"CAN 7","Canada","Luc de Fougerolles","Luc de Fougerolles","true","true","true","false","false","","","","Fulham","Defensa"
"CAN 9","Canada","Alfie Jones","Alfie Jones","true","true","true","false","false","","","","Middlesbrough","Defensa"
"CAN 10","Canada","Richie Laryea","Richie Laryea","true","true","true","false","false","","","","Toronto","Defensa"
"CAN 12","Canada","Joel Waterman","Joel Waterman","true","true","true","false","false","","","","Chicago Fire","Defensa"
"CAN 13","Canada","Ali Ahmed","Ali Ahmed","true","true","true","false","false","","","","Norwich","Mediocampista"
"CAN 15","Canada","Mathieu Chounière","Mathieu Chounière","true","true","true","false","false","","","","LAFC","Mediocampista"
"CAN 17","Canada","Marcelo Flores","Marcelo Flores","true","true","true","false","false","","","","lesionado/Tigres","Mediocampista"
"CAN 21","Canada","Nathan Saliba","Nathan Saliba","true","true","true","false","false","","","","Anderlecht","Mediocampista"
"CAN 24","Canada","Promise David","Promise David","true","true","true","false","false","","","","Unión Saint-Gilloise","Delantero"
"CAN 26","Canada","Tani Oluwaseyi","Tani Oluwaseyi","true","true","true","false","false","","","","Villarreal","Delantero"
"CIV 2","Costa de Marfil","Mohamed Kone","Mohamed Koné","false","false","true","false","false","2003-08-21","22","","Charleroi","Arquero"
"CIV 10","Costa de Marfil","Evan N’Dicka","Evan N’Dicka","true","true","true","false","false","","","","Roma","Defensa"
"COD 3","Republica Democratica del Congo","Mattieu Epolo","Mattieu Epolo","true","true","true","false","false","","","","Standard Lieja","Arquero"
"COD 5","Republica Democratica del Congo","Gedeon Kalulu","Gedeon Kalulu","true","true","true","false","false","","","","Aris","Defensa"
"COD 11","Republica Democratica del Congo","Arthur Masuku","Arthur Masuku","true","true","true","false","false","","","","Lens","Defensa"
"COD 26","Republica Democratica del Congo","Meschack Elia","Meschack Elia","true","true","true","false","false","","","","Alanyaspor","Delantero"
"COL 1","Colombia","Álvaro Montero","Álvaro Montero","false","false","true","false","false","1989-11-05","36","","Vélez Sarsfield","Arquero"
"COL 12","Colombia","Gustavo Puerta","Gustavo Puerta","true","true","true","false","false","","","","Racing de Santander","Mediocampista"
"COL 21","Colombia","Juan Portilla","Juan Portilla","true","true","true","false","false","","","","Paranaense","Mediocampista"
"COL 25","Colombia","Carlos Gómez","Carlos Gómez","true","true","true","false","false","","","","Vasco da Gama","Delantero"
"CPV 2","Cabo Verde","Márcio da Rosa","Márcio da Rosa","true","true","true","false","false","","","","Montana","Arquero"
"CPV 3","Cabo Verde","Carlos Santos","Carlos Santos","true","true","true","false","false","","","","San Diego","Arquero"
"CPV 6","Cabo Verde","João Paulo Fernandes","Joao Paulo","false","false","true","false","false","1997-07-04","28","","FCSB","Defensa"
"CPV 11","Cabo Verde","Ianique Tavares","Ianique Tavares","true","true","true","false","false","","","","Torreense","Defensa"
"CRO 1","Croacia","Dominic Livakovic","Dominic Livakovic","true","true","true","false","false","","","","Dinamo","Arquero"
"CRO 2","Croacia","Dominik Kotarski","Dominik Kotarski","true","true","true","false","false","","","","Kabenhavn","Arquero"
"CRO 3","Croacia","Ivor Pandur","Ivor Pandur","true","true","true","false","false","","","","Hull City","Arquero"
"CRO 6","Croacia","Josip Sutalo","Josip Sutalo","true","true","true","false","false","","","","Ajax","Defensa"
"CRO 25","Croacia","Petar Musa","Petar Musa","true","true","true","false","false","","","","Dallas","Delantero"
"CRO 26","Croacia","Igor Matanovic","Igor Matanovic","true","true","true","false","false","","","","Friburgo","Delantero"
"CUW 4","Curazao","Riechedly Bazoer","Riechedly Bazoer","true","true","true","false","false","","","","Konyaspor","Defensa"
"CUW 16","Curazao","Arjany Martha","Arjany Martha","true","true","true","false","false","","","","Rotherham","Mediocampista"
"CZE 6","Republica Checa","Stepan Chaloupek","Stepan Chaloupek","true","true","true","false","false","","","","Slavia Praga","Defensa"
"CZE 7","Republica Checa","David Zima 8Slavia Praga)","David Zima","false","false","false","true","false","2000-11-08","25","1.90 m","","Defensa"
"CZE 12","Republica Checa","Tomas Soucek","Tomas Soucek","true","true","true","false","false","","","","West Ham","Mediocampista"
"CZE 15","Republica Checa","Hugo Sochurek","Hugo Sochůrek","false","false","true","false","false","2008-06-07","18","","Sparta Praga","Mediocampista"
"CZE 16","Republica Checa","Alexander Sojka","Alexander Sojka","true","true","true","false","false","","","","Viktoria Plzen","Mediocampista"
"CZE 20","Republica Checa","Denis Visinsky","Denis Visinsky","true","true","true","false","false","","","","Viktoria Plzen","Mediocampista"
"CZE 21","Republica Checa","Patrick Schick","Patrick Schick","true","true","true","false","false","","","","Bayer Leverkusen","Delantero"
"CZE 23","Republica Checa","Adam Hlozek","Adam Hlozek","true","true","true","false","false","","","","Hoffenheim","Delantero"
"CZE 25","Republica Checa","Jan Kuchta","Jan Kuchta","true","true","true","false","false","","","","Sparta Praga","Delantero"
"CZE 26","Republica Checa","Tomas Chory","Tomas Chory","true","true","true","false","false","","","","Slavia Praga","Delantero"
"ECU 2","Ecuador","Moisés Ramírez","Moisés Ramírez","true","true","true","false","false","","","","AE Kifisias","Arquero"
"ECU 7","Ecuador","Jackson Porozo","Jackson Porozo","true","true","true","false","false","","","","Club Tijuana","Defensa"
"ECU 8","Ecuador","Félix Torres","Félix Torres","true","true","true","false","false","","","","Internacional","Defensa"
"ECU 10","Ecuador","Yaimar Medina","Yaimar Medina","true","true","true","false","false","","","","KRC Genk","Defensa"
"ECU 13","Ecuador","Jordi Alcívar","Jordi Alcívar","true","true","true","false","false","","","","Independiente del Valle","Mediocampista"
"ECU 14","Ecuador","Denil Castillo","Denil Castillo","true","true","true","false","false","","","","Midtjylland","Mediocampista"
"ECU 19","Ecuador","John Yeboah","John Yeboah","true","true","true","false","false","","","","Venezia","Delantero"
"ECU 21","Ecuador","Jordy Caicedo","Jordy Caicedo","true","true","true","false","false","","","","Huracán","Delantero"
"ECU 22","Ecuador","Jeremy Arévalo","Jeremy Arévalo","true","true","true","false","false","","","","Stuttgart","Delantero"
"ECU 23","Ecuador","Anthony Valencia","Anthony Valencia","true","true","true","false","false","","","","Royal Antwerp","Delantero"
"ECU 24","Ecuador","Kevin Rodríguez","Kevin Rodriguez","false","false","true","false","false","1996-09-25","29","","Unión Saint-Gilloise","Mediocampista"
"EGY 1","Egipto","Mohamed El Shenawy","Mohamed El Shenawy","true","true","true","false","false","","","","Al-Ahly SC","Arquero"
"EGY 3","Egipto","Al-Mahdy Soliman","Al-Mahdy Soliman","false","false","true","false","false","1986-11-30","39","","Al-Ittihad Alexandria","Arquero"
"EGY 4","Egipto","Mohamed Alaa","Mohamed Alaa","true","true","true","false","false","","","","ZED FC","Arquero"
"EGY 6","Egipto","Tarek El Ala","Tarek Alaa","false","false","true","false","false","2002-01-05","24","","Al-Nasr","Defensa"
"EGY 7","Egipto","Hamdi Fathy","Hamdi Fathy","true","true","true","false","false","","","","Al-Wakrah SC","Defensa"
"EGY 10","Egipto","Hossam Abdel-Maguid","Hossam Abdel-Maguid","true","true","true","false","false","","","","Zamalek SC","Defensa"
"EGY 11","Egipto","Mohamed Abdelmonem","Mohamed Abdelmonem","true","true","true","false","false","","","","OGC Niza","Defensa"
"EGY 12","Egipto","Ahmed Fotouh","Ahmed Fotouh","true","true","true","false","false","","","","Zamalek SC","Defensa"
"EGY 15","Egipto","Mohand Lashin","Mohand Lashin","true","true","true","false","false","","","","Pyramids FC","Mediocampista"
"EGY 16","Egipto","Nabil Emad Dunga","Nabil Emad Dunga","true","true","true","false","false","","","","Zamalek SC","Mediocampista"
"EGY 19","Egipto","Imam Ashour","Imam Ashour","true","true","true","false","false","","","","Al-Ahly SC","Mediocampista"
"EGY 20","Egipto","Mostafa Abdel-Raouf Ziko","Mostafa Abdel-Raouf Ziko","true","true","true","false","false","","","","ZED FC","Mediocampista"
"EGY 22","Egipto","Ibrahim Ade (Pyramids FC)l","Ibrahim Ade (Pyramids FC)l","true","true","true","true","false","","","","","Mediocampista"
"EGY 23","Egipto","Haithem Hassan","Haithem Hassan","true","true","true","false","false","","","","Real Oviedo","Mediocampista"
"EGY 26","Egipto","Aktai Abdullah","Aktai Abdullah","true","true","true","false","false","","","","ZED FC","Delantero"
"EGY 27","Egipto","Hamza Abdelkarim","Hamza Abdelkarim","true","true","true","false","false","","","","FC Barcelona Atlètic/Al Ahly","Delantero"
"ESP 17","Espana","Gavi","Gavi","true","true","true","false","false","","","","FC Barcelona","Mediocampista"
"ESP 24","Espana","Yeremi Pino","Yeremi Pino","true","true","true","false","false","","","","Crystal Palace","Delantero"
"ESP 25","Espana","Victor Muñoz","Víctor Muñoz","true","true","false","false","false","","","1.69 m","Osasuna","Mediocampista"
"GER 5","Alemania","Nathaniel Brown","Nathaniel Brown","true","true","true","false","false","","","","Frankfurt","Defensa"
"GER 13","Alemania","Aleksandar Pavlovic","Aleksandar Pavlovic","true","true","true","false","false","","","","Bayern","Mediocampista"
"GER 15","Alemania","Nadiem Amiri","Nadiem Amiri","true","true","true","false","false","","","","Mainz","Mediocampista"
"GHA 1","Ghana","Benjamin Asare","Benjamin Asare","true","true","true","false","false","","","","Hearts of Oak","Arquero"
"GHA 3","Ghana","Joseph Anang","Joseph Anang","true","true","true","false","false","","","","St. Patrick Athletic","Arquero"
"GHA 4","Ghana","Baba Abdul Rahman","Baba Abdul Rahman","true","true","true","false","false","","","","PAOK","Defensa"
"GHA 6","Ghana","Marvin Senaya","Marvin Senaya","true","true","true","false","false","","","","Auxerre","Defensa"
"GHA 8","Ghana","Abdul Mumin","Abdul Mumin","true","true","true","false","false","","","","Rayo Vallecano","Defensa"
"GHA 9","Ghana","Jerome Opoku","Jerome Opoku","true","true","true","false","false","","","","Estambul Basaksehir","Defensa"
"GHA 10","Ghana","Jonas Adjetey","Jonas Adjetey","true","true","true","false","false","","","","Wolsfburgo","Defensa"
"GHA 11","Ghana","Kojo Oppong Peprah","Kojo Oppong Peprah","true","true","true","false","false","","","","Niza","Defensa"
"GHA 12","Ghana","Derrick Luckassen","Derrick Luckassen","true","true","true","false","false","","","","Pafos","Defensa"
"GHA 13","Ghana","Elisha Owusu","Elisha Owusu","true","true","true","false","false","","","","Auxerre","Mediocampista"
"GHA 15","Ghana","Kwasi Sibo","Kwasi Sibo","true","true","true","false","false","","","","Oviedo","Mediocampista"
"GHA 16","Ghana","Augustine Boakye","Augustine Boakye","true","true","true","false","false","","","","Saint-Ettiene","Mediocampista"
"GHA 18","Ghana","Abdul Fatawu Issahaku","Abdul Issahaku Fatawu","true","true","true","false","false","","","","Leicester City","Mediocampista"
"GHA 20","Ghana","Cristopher Bonsu Baah","Cristopher Bonsu Baah","true","true","true","false","false","","","","Al-Qadisiyah","Delantero"
"GHA 21","Ghana","Ernest Nuamah","Ernest Nuamah","true","true","true","false","false","","","","Lyon","Delantero"
"GHA 23","Ghana","Brandon Thomas-Asante","Brandon Thomas-Asante","true","true","true","false","false","","","","Coventry City","Delantero"
"GHA 24","Ghana","Prince Kwabena Adu","Prince Kwabena Adu","true","true","true","false","false","","","","Viktoria Plzen","Delantero"
"HAI 1","Haiti","Johnny Placide","Johnny Placide","true","true","true","false","false","","","","SC Bastia","Arquero"
"HAI 3","Haiti","Josué Duverger","Josué Duverger","false","false","true","false","false","2000-04-27","26","","FC Cosmos Koblenz","Arquero"
"HAI 6","Haiti","Duke Lacroix","Duke Lacroix","false","false","true","false","false","1993-10-14","32","","Colorado Springs","Defensa"
"HAI 8","Haiti","JK Duverne","JK Duverne","true","true","true","false","false","","","","KAA Gent","Defensa"
"HAI 11","Haiti","Keeto Thermoncy","Keeto Thermoncy","false","false","true","false","false","2006-03-29","20","","BSC Young Boys II","Defensa"
"HAI 13","Haiti","Carl-Fred Sainthe","Carl-Fred Sainthe","true","true","true","false","false","","","","El Paso Locomotive FC","Mediocampista"
"HAI 16","Haiti","Pierre Woodenski","Pierre Woodenski","true","true","true","false","false","","","","Violette AC","Mediocampista"
"HAI 17","Haiti","Dominique Simon","Dominique Simon","false","false","true","false","false","2000-07-29","25","","FC Tatran Prešov","Mediocampista"
"HAI 21","Haiti","Derrick Etienne","Derrick Etienne Jr","true","true","true","false","false","","","","Toronto FC","Delantero"
"IRN 1","Iran","Alireza Beyranvand","Alireza Beyranvand","true","true","true","false","false","","","","Tractor FC","Arquero"
"IRN 2","Iran","Hosein Hoseini","Hosein Hoseini","true","true","true","false","false","","","","Sepahan","Arquero"
"IRN 3","Iran","Payam Niazmand","Payam Niazmand","true","true","true","false","false","","","","Persepolis","Arquero"
"IRN 5","Iran","Hosein Kanaani","Hosein Kanaani","true","true","true","false","false","","","","Persepolis","Defensa"
"IRN 6","Iran","Ali Nemati","Ali Nemati","true","true","true","false","false","","","","Foolad FC","Defensa"
"IRN 7","Iran","Danial Eiri","Danial Eiri","true","true","true","false","false","","","","Malavan Bandar Anzali","Defensa"
"IRN 8","Iran","Ehsan Hajisafi","Ehsan Hajisafi","true","true","true","false","false","","","","Sepahan","Defensa"
"IRN 11","Iran","Ramin Rezaeiyan","Ramin Rezaeiyan","true","true","true","false","false","","","","Foolad","Defensa"
"IRN 12","Iran","Saman Ghodoos","Saman Ghodoos","true","true","true","false","false","","","","Kalba","Mediocampista"
"IRN 13","Iran","Saeid Ezatollahi","Saeid Ezatollahi","true","true","true","false","false","","","","Shabab Al-Ahli Club","Mediocampista"
"IRN 15","Iran","Amir Mohammad Razagh Niya","Amir Mohammad Razagh Niya","true","true","true","false","false","","","","Esteghlal","Mediocampista"
"IRN 16","Iran","Mohammad Ghorbani","Mohammad Ghorbani","true","true","true","false","false","","","","Al-Wahda","Mediocampista"
"IRN 17","Iran","Mehdi Ghayedi","Mehdi Ghayedi","true","true","true","false","false","","","","Al-Nasr","Mediocampista"
"IRN 18","Iran","Ariya Yousefi","Ariya Yousefi","true","true","true","false","false","","","","Sepahan","Mediocampista"
"IRN 20","Iran","Mehdi Torabi","Mehdi Torabi","true","true","true","false","false","","","","Tractor FC","Mediocampista"
"IRN 21","Iran","Mohammad Mohebbi","Mohammad Mohebbi","true","true","true","false","false","","","","FK Rostov","Mediocampista"
"IRN 23","Iran","Amirhossein Hosseinzadeh","Amirhossein Hosseinzadeh","true","true","true","false","false","","","","Tractor FC","Delantero"
"IRN 24","Iran","Denis Dargahi","Denis Dargahi","true","true","true","false","false","","","","Standard de Lieja","Delantero"
"IRN 25","Iran","Ali Alipour","Ali Alipour","true","true","true","false","false","","","","Persepolis","Delantero"
"IRN 26","Iran","Shahriyar Moghanloo","Shahriyar Moghanloo","true","true","true","false","false","","","","Kalba","Delantero"
"IRQ 1","Irak","Jalal Hassan","Jalal Hassan","false","false","true","false","false","1991-05-18","35","","Al-Zawraa","Arquero"
"IRQ 2","Irak","Ahmed Basil","Ahmed Basil","true","true","true","false","false","","","","Al-Shorta","Arquero"
"IRQ 3","Irak","Fahad Talib","Fahad Talib","true","true","true","false","false","","","","Al-Talaba","Arquero"
"IRQ 5","Irak","Manaf Younis","Manaf Younis","false","false","true","false","false","1996-12-29","29","","Al-Shorta","Defensa"
"IRQ 8","Irak","Akam Hashem","Akam Hashem","true","true","true","false","false","","","","Al-Zawraa","Defensa"
"IRQ 10","Irak","Ahmed Yahya","Ahmed Yahya","true","true","true","false","false","","","","Al-Shorta","Defensa"
"IRQ 11","Irak","Frans Putros","Frans Putros","true","true","true","false","false","","","","PERSIB Bandung","Defensa"
"IRQ 12","Irak","Mustafa Saadoon","Mustafa Saadoon","true","true","true","false","false","","","","Al-Shorta","Defensa"
"IRQ 13","Irak","Zaid Ismail","Zaid Ismail","true","true","true","false","false","","","","Al-Talaba","Mediocampista"
"IRQ 15","Irak","Kevin Yakob","Kevin Yakob","true","true","true","false","false","","","","Aarhus GF","Mediocampista"
"IRQ 19","Irak","Ibrahim Bayesh","Ibrahim Bayesh","true","true","true","false","false","","","","Al-Dhafra","Mediocampista"
"IRQ 20","Irak","Ahmed Qasem","Ahmed Qasem","true","true","true","false","false","","","","Nashville SC","Delantero"
"IRQ 24","Irak","Ali Yousif","Ali Yousif","true","true","true","false","false","","","","Al-Talaba","Delantero"
"JOR 1","Jordania","Nour Bani Attia","Nour Bani Attia","true","true","true","false","false","","","","Al-Faisaly","Arquero"
"JOR 2","Jordania","Yazeed Abu Laila","Yazeed Abu Laila","true","true","true","false","false","","","","Al-Hussein","Arquero"
"JOR 3","Jordania","Abdullah Al-Fakhoury","Abdullah Al-Fakhoury","true","true","true","false","false","","","","Al-Wehdat","Arquero"
"JOR 4","Jordania","Abdullah Naseeb","Abdullah Naseeb","true","true","true","false","false","","","","Al-Zawraa","Defensa"
"JOR 5","Jordania","Saad Al-Rousan","Saad Al-Rousan","true","true","true","false","false","","","","Al-Hussein","Defensa"
"JOR 6","Jordania","Yazan Al-Arab","Yazan Al-Arab","true","true","true","false","false","","","","FC Seúl","Defensa"
"JOR 7","Jordania","Saleem Obeid","Saleem Obeid","true","true","true","false","false","","","","Al-Hussein","Defensa"
"JOR 8","Jordania","Mohammad Abu Al-Nadi","Mohammad Abu Al-Nadi","true","true","true","false","false","","","","Selangor","Defensa"
"JOR 9","Jordania","Hussam Abu Dahab","Hussam Abu Dahab","true","true","true","false","false","","","","Al-Faisaly","Defensa"
"JOR 11","Jordania","Anas Badawi","Anas Badawi","true","true","true","false","false","","","","Al-Faisaly","Defensa"
"JOR 13","Jordania","Nour Al-Rawabdeh","Nour Al-Rawabdeh","true","true","true","false","false","","","","Selangor","Mediocampista"
"JOR 15","Jordania","Ibrahim Saadeh","Ibrahim Saadeh","true","true","true","false","false","","","","Al-Karma","Mediocampista"
"JOR 16","Jordania","Rajai Ayed","Rajai Ayed","true","true","true","false","false","","","","Al-hussein","Mediocampista"
"JOR 18","Jordania","Muhannad Abu Taha","Muhannad Abu Taha","true","true","true","false","false","","","","Al-Hussein","Mediocampista"
"JOR 19","Jordania","Mohammad Al-Dawood","Mohammad Al-Dawood","true","true","true","false","false","","","","Al-Wehdat","Delantero"
"JOR 20","Jordania","Mahmoud Mardi","Mahmoud Al-Mardi","false","false","true","false","false","1993-10-06","32","","Al-Hussein","Delantero"
"JOR 21","Jordania","Awda Al-Fakhoury","Awda Al-Fakhoury","true","true","true","false","false","","","","Pyramids","Delantero"
"JOR 22","Jordania","Mousa Al-Taamari","Mousa Al-Taamari","true","true","true","false","false","","","","Stade Rennais","Delantero"
"JOR 23","Jordania","Mohammad Abu Zureiq","Mohammad Abu Zureiq","true","true","true","false","false","","","","Raja CA","Delantero"
"JOR 24","Jordania","Ali Azayza","Ali Azayza","true","true","true","false","false","","","","Al-Shabab","Delantero"
"JOR 25","Jordania","Ibrahim Sabra","Ibrahim Sabra","true","true","true","false","false","","","","Lokomotiv Zagreb","Delantero"
"JOR 26","Jordania","Ali Alwan","Ali Alwan","true","true","true","false","false","","","","Al-Sailiya","Delantero"
"JPN 2","Japon","Keisuke Osako","Keisuke Osako","true","true","true","false","false","","","","Sanfrecce Hiroshima","Arquero"
"JPN 3","Japon","Tomoki Hayakawa","Tomoki Hayakawa","true","true","true","false","false","","","","Kashima","Arquero"
"JPN 4","Japon","Yuto Nagamoto","Yuto Nagamoto","true","true","true","false","false","","","","FC Tokyo","Defensa"
"JPN 5","Japon","Shogo Taniguchi","Shogo Taniguchi","true","true","true","false","false","","","","Sint-Truiden","Defensa"
"JPN 6","Japon","Ko Itakura","Ko Itakura","true","true","true","false","false","","","","Ajax","Defensa"
"JPN 7","Japon","Takehiro Tomisayu","Takehiro Tomisayu","true","true","true","false","false","","","","Ajax","Defensa"
"JPN 9","Japon","Yukinari Sugawara","Yukinari Sugawara","true","true","true","false","false","","","","Werder Bremen","Defensa"
"JPN 10","Japon","Hiroki Ito","Hiroki Ito","true","true","true","false","false","","","","Bayern de Múnich","Defensa"
"JPN 12","Japon","Tsuyoshi Watanabe","Tsuyoshi Watanabe","true","true","false","false","false","","","1.84 m","Feyenoord","Defensa"
"JPN 14","Japon","Wataru Endo","Wataru Endo","true","true","true","false","false","","","","Liverpool","Mediocampista"
"JPN 17","Japon","Junya Ito","Junya Ito","false","false","true","false","false","1998-04-12","28","","Genk","Mediocampista"
"JPN 18","Japon","Kaito Nakamura","Kaito Nakamura","true","true","true","false","false","","","","Stade Reims","Delantero"
"JPN 19","Japon","Daizen Maeda","Daizen Maeda","true","true","true","false","false","","","","Celtic","Delantero"
"JPN 22","Japon","Yuito Suzuki","Yuito Suzuki","true","true","true","false","false","","","","Friburgo","Delantero"
"JPN 23","Japon","Kento Shiogai","Kento Shiogai","true","true","true","false","false","","","","Wolfsburgo","Delantero"
"JPN 24","Japon","Keisuke Goto","Keisuke Goto","true","true","true","false","false","","","","Sint-Truiden","Delantero"
"JPN 25","Japon","Ritsu Doan","Ritsu Doan","true","true","true","false","false","","","","Eintracht","Delantero"
"KOR 1","Corea del Sur","Kim Seung-Gyu","Seung-Gyu Kim","true","true","true","false","false","","","","FC Tokyo","Arquero"
"KOR 2","Corea del Sur","Song Bum Keun","Song Bum Keun","true","true","true","false","false","","","","Jeonbuk Hyundai","Arquero"
"KOR 3","Corea del Sur","Jo Hyeon-Woo","Hyeon-woo Jo","true","true","true","false","false","","","","Ulsan HD","Arquero"
"KOR 4","Corea del Sur","Kim Moon-Hwan","Kim Moon-Hwan","true","true","true","false","false","","","","Daejon Hana","Defensa"
"KOR 5","Corea del Sur","Kim Min-Jae","Min-jae Kim","true","true","true","false","false","","","","Bayern de Múnich","Defensa"
"KOR 6","Corea del Sur","Kim Tae-Hwan","Kim Tae-Hwan","true","true","true","false","false","","","","Kashima Antlers","Defensa"
"KOR 7","Corea del Sur","Park Jin-Seob","Park Jin-Seob","true","true","true","false","false","","","","Jeonbuk Hyundai","Defensa"
"KOR 8","Corea del Sur","Seol Young-Woo","Young-woo Seol","true","true","true","false","false","","","","Estrella Roja","Defensa"
